 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"317130 VICOSA";-;-;-;-;50;9;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;70
"317140 VIEIRAS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"317150 MATHIAS LOBATO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"317160 VIRGEM DA LAPA";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;11
"317170 VIRGINIA";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"317180 VIRGINOPOLIS";-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"317190 VIRGOLANDIA";-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"317200 VISCONDE DO RIO BRANCO";-;-;-;-;42;5;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
"317210 VOLTA GRANDE";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"317220 WENCESLAU BRAZ";-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;6
"320010 AFONSO CLAUDIO";-;-;-;1;21;6;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;32
"320013 AGUIA BRANCA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"320016 AGUA DOCE DO NORTE";-;-;-;-;9;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"320020 ALEGRE";-;-;-;-;25;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;32
"320030 ALFREDO CHAVES";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"320035 ALTO RIO NOVO";-;-;-;1;3;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"320040 ANCHIETA";-;-;-;1;15;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;21
"320050 APIACA";-;-;-;1;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"320060 ARACRUZ";-;-;-;1;52;8;1;-;-;-;-;1;-;-;-;4;3;2;-;2;-;-;3;-;-;-;-;77
"320070 ATILIO VIVACQUA";-;-;-;-;5;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"320080 BAIXO GUANDU";-;-;-;2;20;1;-;-;-;-;-;-;-;-;1;1;1;-;-;1;-;-;3;-;-;-;-;30
"320090 BARRA DE SAO FRANCISCO";-;-;-;2;43;6;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;55
"320100 BOA ESPERANCA";-;-;-;1;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"320110 BOM JESUS DO NORTE";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"320115 BREJETUBA";-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"320120 CACHOEIRO DE ITAPEMIRIM";-;-;-;2;119;27;3;-;-;-;-;2;1;-;3;1;1;-;-;2;-;-;12;1;-;-;-;174
"320130 CARIACICA";-;-;-;1;150;46;3;1;1;-;-;4;1;-;4;4;4;1;-;6;-;-;2;2;-;-;2;232
"320140 CASTELO";-;-;-;2;30;5;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;5;-;-;-;-;45
"320150 COLATINA";-;-;-;9;72;16;3;1;-;-;-;2;-;-;2;4;2;1;-;-;-;-;6;-;-;-;-;118
"320160 CONCEICAO DA BARRA";-;-;-;-;17;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;26
"320170 CONCEICAO DO CASTELO";-;-;-;-;7;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;11
"320180 DIVINO DE SAO LOURENCO";-;-;-;-;7;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"320190 DOMINGOS MARTINS";-;-;-;-;19;3;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;25
"320200 DORES DO RIO PRETO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"320210 ECOPORANGA";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;18
"320220 FUNDAO";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"320225 GOVERNADOR LINDENBERG";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"320230 GUACUI";-;-;-;2;51;1;-;-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;2;-;-;-;-;61
"320240 GUARAPARI";-;-;-;-;38;16;4;-;-;-;-;-;-;-;2;3;-;-;-;2;-;-;6;1;-;1;-;73
"320245 IBATIBA";-;-;-;1;18;1;1;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;26
"320250 IBIRACU";-;-;-;-;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"320255 IBITIRAMA";-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"320260 ICONHA";-;-;-;-;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"320265 IRUPI";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"320270 ITAGUACU";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"320280 ITAPEMIRIM";-;-;-;-;19;7;3;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;2;1;-;-;-;35
"320290 ITARANA";-;-;-;-;3;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"320300 IUNA";-;-;-;-;14;3;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;20
"320305 JAGUARE";-;-;-;-;8;3;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;14
"320310 JERONIMO MONTEIRO";-;-;-;-;10;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"320313 JOAO NEIVA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"320316 LARANJA DA TERRA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"320320 LINHARES";-;-;-;-;94;31;3;2;1;-;-;4;-;-;3;4;3;1;1;10;-;-;14;2;-;-;-;173
"320330 MANTENOPOLIS";-;-;-;-;11;3;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;17
"320332 MARATAIZES";-;-;-;-;38;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;49
"320334 MARECHAL FLORIANO";-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"320335 MARILANDIA";-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"320340 MIMOSO DO SUL";-;-;-;-;25;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;32
"320350 MONTANHA";-;-;-;-;10;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"320360 MUCURICI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"320370 MUNIZ FREIRE";-;-;-;-;13;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;18
"320380 MUQUI";-;-;-;-;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;14
"320390 NOVA VENECIA";-;-;-;2;31;7;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;44
"320400 PANCAS";-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"320405 PEDRO CANARIO";-;-;-;-;15;3;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;20
"320410 PINHEIROS";-;-;-;-;11;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;17
"320420 PIUMA";-;-;-;-;13;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;19
"320425 PONTO BELO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3
"320430 PRESIDENTE KENNEDY";-;-;-;1;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;12
"320435 RIO BANANAL";-;-;-;-;9;1;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;15
"320440 RIO NOVO DO SUL";-;-;-;-;13;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"320450 SANTA LEOPOLDINA";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"320455 SANTA MARIA DE JETIBA";-;-;-;-;18;2;2;3;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;27
"320460 SANTA TERESA";-;-;-;1;15;2;2;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;24
"320465 SAO DOMINGOS DO NORTE";-;-;-;2;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"320470 SAO GABRIEL DA PALHA";-;-;-;3;15;2;-;-;-;-;-;1;1;-;-;1;1;-;-;1;-;-;-;1;-;-;-;26
"320480 SAO JOSE DO CALCADO";-;-;-;3;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"320490 SAO MATEUS";-;-;-;1;59;7;2;-;-;-;-;2;-;-;1;2;-;-;-;1;1;-;-;1;-;-;-;77
"320495 SAO ROQUE DO CANAA";-;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"320500 SERRA";1;-;-;4;165;47;5;8;-;-;-;9;-;-;13;6;5;2;-;8;-;-;10;-;-;-;1;284
"320501 SOORETAMA";-;-;-;-;8;7;-;2;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;20
"320503 VARGEM ALTA";-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;19
"320506 VENDA NOVA DO IMIGRANTE";-;-;-;-;14;3;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;19
"320510 VIANA";-;-;-;-;22;7;-;2;-;-;-;1;-;-;2;2;-;1;-;-;-;-;1;-;-;-;-;38
"320515 VILA PAVAO";-;-;-;-;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"320517 VILA VALERIO";-;-;-;2;8;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"320520 VILA VELHA";-;-;-;2;166;48;12;3;-;-;-;3;-;-;5;7;2;-;1;2;1;-;10;1;-;-;-;263
"320530 VITORIA";-;-;-;1;103;28;1;4;-;-;-;5;-;-;3;6;6;1;-;6;1;1;10;5;-;-;-;181
"330010 ANGRA DOS REIS";-;-;-;-;119;11;5;-;-;-;-;-;2;-;1;11;1;1;1;1;-;-;2;-;-;-;1;156
"330015 APERIBE";-;-;-;-;26;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"330020 ARARUAMA";-;-;-;-;47;6;5;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;64
"330022 AREAL";-;-;-;-;16;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"330023 ARMACAO DOS BUZIOS";-;-;-;-;36;5;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;45
"330025 ARRAIAL DO CABO";-;-;-;1;35;4;1;1;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;46
"330030 BARRA DO PIRAI";-;-;-;-;112;3;4;2;-;-;-;1;1;-;-;2;4;-;-;-;-;-;3;-;-;-;-;132
"330040 BARRA MANSA";-;-;-;7;128;15;5;3;-;-;-;-;4;-;1;1;1;-;1;-;-;-;9;5;-;-;-;180
"330045 BELFORD ROXO";-;-;-;2;326;26;9;5;-;-;-;5;-;-;3;3;3;1;1;1;1;-;9;-;-;1;-;396
"330050 BOM JARDIM";-;-;-;1;39;2;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;48
"330060 BOM JESUS DO ITABAPOANA";-;-;-;-;55;5;2;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;7;-;-;1;-;73
"330070 CABO FRIO";-;-;-;-;102;22;15;1;-;-;-;-;-;-;-;4;2;-;-;1;-;-;9;-;-;-;-;156
"330080 CACHOEIRAS DE MACACU";-;-;-;1;63;9;-;1;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;79
"330090 CAMBUCI";-;-;-;-;20;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;24
"330093 CARAPEBUS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"330095 COMENDADOR LEVY GASPARIAN";-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"330100 CAMPOS DOS GOYTACAZES";-;2;-;9;347;67;10;6;-;-;-;7;4;-;5;7;6;3;-;6;-;-;12;4;-;-;-;495
"330110 CANTAGALO";-;-;-;-;9;1;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;13
"330115 CARDOSO MOREIRA";-;-;-;-;8;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"330120 CARMO";-;-;-;1;24;3;2;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;33
"330130 CASIMIRO DE ABREU";-;-;-;-;60;9;4;1;-;-;-;-;-;-;1;2;1;2;-;-;-;-;-;-;-;-;-;80
"330140 CONCEICAO DE MACABU";-;-;-;-;17;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"330150 CORDEIRO";-;-;-;-;16;1;-;2;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;23
"330160 DUAS BARRAS";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"330170 DUQUE DE CAXIAS";-;-;-;4;833;57;34;7;-;-;-;5;3;-;5;6;8;2;1;10;-;-;27;2;-;-;-;1004
"330180 ENGENHEIRO PAULO DE FRONTIN";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;15
"330185 GUAPIMIRIM";-;-;-;-;75;2;4;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;84
"330187 IGUABA GRANDE";-;-;-;-;11;2;-;-;-;-;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;18
"330190 ITABORAI";-;-;-;2;265;24;5;2;-;-;-;1;-;-;2;3;3;1;-;3;-;-;9;-;-;-;-;320
"330200 ITAGUAI";-;-;-;-;77;2;1;2;1;-;-;1;2;-;3;-;3;-;-;-;-;-;2;-;-;-;-;94
"330205 ITALVA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;9
"330210 ITAOCARA";-;-;-;-;24;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;3;-;-;-;-;31
"330220 ITAPERUNA";-;-;-;-;62;12;2;-;-;-;-;1;-;-;5;-;4;1;-;4;-;-;10;-;-;-;-;101
"330225 ITATIAIA";-;-;-;-;17;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"330227 JAPERI";-;-;-;-;68;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;79
"330230 LAJE DO MURIAE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;6
"330240 MACAE";-;-;-;9;126;23;6;5;-;-;-;3;4;-;6;6;4;1;-;2;-;-;7;2;-;-;-;204
"330245 MACUCO";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;15
"330250 MAGE";-;-;-;-;208;10;6;-;-;-;-;1;-;-;1;4;2;-;-;3;-;-;4;-;-;-;-;239
"330260 MANGARATIBA";-;-;-;-;51;3;3;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;63
"330270 MARICA";-;-;-;1;170;24;6;2;-;-;-;3;-;-;4;7;1;1;-;2;1;-;3;1;-;-;-;226
"330280 MENDES";-;-;-;-;19;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;22
"330285 MESQUITA";-;-;-;1;54;11;2;1;-;-;-;3;1;-;-;1;3;1;-;-;-;-;5;-;-;-;-;83
"330290 MIGUEL PEREIRA";-;-;-;-;34;6;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;44
"330300 MIRACEMA";-;-;-;-;20;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;-;27
"330310 NATIVIDADE";-;-;-;-;7;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;10
"330320 NILOPOLIS";-;-;-;-;69;10;7;2;-;-;-;5;-;-;1;-;1;1;-;1;1;-;6;-;-;-;-;104
"330330 NITEROI";-;1;-;11;328;37;7;2;-;-;-;4;1;-;5;9;10;-;-;2;3;-;58;3;-;-;-;481
"330340 NOVA FRIBURGO";-;-;-;-;227;7;16;4;-;-;-;2;-;-;3;7;1;-;-;1;1;-;3;1;-;-;-;273
"330350 NOVA IGUACU";-;-;-;5;694;55;27;17;1;-;-;19;14;-;6;28;13;4;-;3;5;-;20;1;-;-;1;913
"330360 PARACAMBI";-;-;-;-;57;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;66
"330370 PARAIBA DO SUL";-;-;-;-;50;2;4;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;61
"330380 PARATY";-;-;-;3;41;4;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;51
"330385 PATY DO ALFERES";-;-;-;-;30;6;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;38
"330390 PETROPOLIS";-;-;-;-;184;25;6;3;-;-;-;-;1;-;8;8;3;1;-;4;-;-;15;4;-;-;-;262
"330395 PINHEIRAL";-;-;-;1;13;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;19
"330400 PIRAI";-;-;-;-;29;2;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;39
"330410 PORCIUNCULA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;8
"330411 PORTO REAL";-;-;-;1;23;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;28
"330412 QUATIS";-;-;-;1;9;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"330414 QUEIMADOS";-;-;-;1;69;13;7;5;-;-;-;2;-;-;3;-;1;-;-;-;-;-;2;-;-;1;-;104
"330415 QUISSAMA";-;-;-;-;27;5;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"330420 RESENDE";-;-;-;-;128;-;6;-;-;-;-;2;2;-;2;4;2;-;-;1;-;-;1;-;-;-;-;148
"330430 RIO BONITO";-;-;-;-;41;10;4;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;58
"330440 RIO CLARO";-;-;-;-;12;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;15
"330450 RIO DAS FLORES";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"330452 RIO DAS OSTRAS";-;-;-;-;44;5;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;53
"330455 RIO DE JANEIRO";1;-;-;17;3447;431;162;48;2;-;-;124;21;1;44;123;96;16;4;20;14;-;229;16;-;5;4;4825
"330460 SANTA MARIA MADALENA";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"330470 SANTO ANTONIO DE PADUA";-;1;-;-;36;4;2;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;2;-;1;-;52
"330475 SAO FRANCISCO DE ITABAPOANA";-;-;-;1;60;7;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;72
"330480 SAO FIDELIS";-;-;-;-;53;-;2;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;59
"330490 SAO GONCALO";-;-;-;22;801;85;33;21;-;-;-;6;2;-;12;12;8;2;1;5;3;-;41;2;-;-;-;1056
"330500 SAO JOAO DA BARRA";-;-;-;-;83;10;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;2;-;-;-;-;99
"330510 SAO JOAO DE MERITI";-;-;-;21;327;29;17;6;-;-;-;2;1;-;6;3;3;1;-;1;1;-;29;1;-;1;3;452
"330513 SAO JOSE DE UBA";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"330515 SAO JOSE DO VALE DO RIO PRETO";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;12
"330520 SAO PEDRO DA ALDEIA";-;-;-;4;27;3;4;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;42
"330530 SAO SEBASTIAO DO ALTO";-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;12
"330540 SAPUCAIA";-;-;-;-;16;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;19
"330550 SAQUAREMA";-;-;-;30;107;4;-;1;-;-;-;2;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;148
"330555 SEROPEDICA";1;-;-;-;28;4;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;2;-;-;-;-;39
"330560 SILVA JARDIM";-;-;-;4;14;5;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;-;-;-;31
"330570 SUMIDOURO";-;-;-;-;12;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;18
"330575 TANGUA";-;-;-;-;29;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;35
"330580 TERESOPOLIS";-;-;-;1;112;19;6;2;-;-;-;1;1;-;6;7;1;1;-;5;-;-;10;1;-;-;-;173
"330590 TRAJANO DE MORAES";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"330600 TRES RIOS";-;1;-;-;42;7;3;-;-;-;-;2;-;-;1;3;2;-;-;2;-;-;5;-;-;-;-;68
"330610 VALENCA";-;-;-;-;86;15;4;-;-;-;-;3;4;-;1;-;-;-;-;-;-;-;3;-;-;-;-;116
"330615 VARRE-SAI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"330620 VASSOURAS";-;-;-;-;33;3;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;-;-;40
"330630 VOLTA REDONDA";-;-;-;-;266;20;8;1;-;-;-;2;1;-;-;3;2;-;-;3;1;1;8;-;-;1;1;318
"350010 ADAMANTINA";-;-;-;1;47;-;1;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;2;-;-;-;-;55
"350020 ADOLFO";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350030 AGUAI";-;-;-;-;28;3;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;35
"350040 AGUAS DA PRATA";-;-;-;-;4;3;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;13
"350050 AGUAS DE LINDOIA";-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;13
"350055 AGUAS DE SANTA BARBARA";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350060 AGUAS DE SAO PEDRO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"350070 AGUDOS";-;-;-;-;18;7;1;-;-;-;-;1;-;-;1;2;1;1;-;-;1;-;1;-;-;-;-;34
"350075 ALAMBARI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
