 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"211223 TRIZIDELA DO VALE";...;...;...;...;4,8;12,5;5,7;2,4;1,2;1,0;...;...;-;...;20,0;2,3;3,3;2,0;2,0;2,0;7,0;...;...;7,0;3,3;...;...;...;...;3,8
"211227 TUFILANDIA";...;...;...;-;2,6;...;2,3;3,0;1,4;2,0;...;...;...;...;2,0;2,3;2,9;2,0;...;2,6;...;...;...;6,0;6,0;...;...;...;...;2,6
"211230 TUNTUM";...;...;...;...;2,9;8,6;2,0;5,9;1,9;1,1;3,0;12,0;3,7;...;6,3;4,1;1,6;2,4;2,0;2,4;5,0;4,0;5,0;2,9;18,3;...;...;...;...;2,8
"211240 TURIACU";...;...;...;1,0;11,2;3,5;15,3;-;1,0;...;...;6,5;21,0;...;...;3,5;2,9;2,2;...;1,5;10,0;30,0;...;7,7;...;...;...;...;...;6,9
"211245 TURILANDIA";...;...;...;-;4,3;3,3;...;9,0;0,9;...;...;...;...;...;...;6,3;4,5;2,2;...;2,3;5,0;...;...;4,0;1,0;...;...;...;...;3,4
"211250 TUTOIA";1,0;...;...;3,5;4,8;4,4;2,5;4,9;2,4;...;...;...;7,0;...;5,0;3,7;4,7;4,3;...;2,3;...;...;...;13,2;3,7;...;-;...;...;4,0
"211260 URBANO SANTOS";...;...;...;1,0;6,1;10,7;3,0;6,0;1,1;...;3,0;9,0;18,5;0,3;1,0;3,6;3,2;2,4;...;2,8;3,0;...;...;7,6;3,3;...;...;...;...;4,5
"211270 VARGEM GRANDE";1,0;...;...;4,0;6,5;3,0;2,0;4,7;1,4;...;...;6,0;1,0;1,0;4,5;5,0;3,6;1,5;...;2,2;4,5;7,0;...;8,9;2,5;...;...;...;...;4,0
"211280 VIANA";...;...;...;1,0;6,2;8,3;7,6;4,3;1,3;1,0;3,0;7,0;3,0;0,5;3,1;2,2;3,0;2,0;1,0;2,5;5,2;4,0;...;8,9;5,5;...;...;...;4,0;3,9
"211285 VILA NOVA DOS MARTIRIOS";...;...;...;...;3,4;5,7;3,0;4,3;1,7;...;...;...;9,0;...;...;1,3;4,0;3,0;...;2,5;...;...;...;4,0;1,0;...;...;...;...;3,4
"211290 VITORIA DO MEARIM";...;...;...;1,0;9,7;16,0;2,8;3,9;1,2;2,7;...;6,0;...;-;1,0;3,8;7,0;2,8;...;2,4;...;...;...;9,8;3,0;...;...;...;...;5,4
"211300 VITORINO FREIRE";...;...;...;...;3,4;13,5;2,7;1,8;2,0;...;...;...;2,0;...;1,0;4,0;4,7;2,3;...;1,6;...;...;...;7,5;4,0;...;...;...;...;3,3
"211400 ZE DOCA";...;...;...;1,3;5,4;6,4;3,0;3,8;2,8;1,3;...;...;...;...;7,7;6,2;4,3;2,5;...;2,6;5,3;...;...;4,7;2,0;...;...;...;...;4,5
"220005 ACAUA";...;...;...;...;8,5;8,5;2,0;4,0;1,0;...;...;...;...;...;...;3,0;3,8;2,0;...;2,2;...;2,0;...;7,0;...;...;...;...;15,0;5,5
"220010 AGRICOLANDIA";...;...;...;1,0;8,9;...;3,0;...;1,9;...;...;...;...;...;...;4,0;2,4;21,0;...;2,8;...;5,4;...;3,0;...;...;...;...;...;4,7
"220020 AGUA BRANCA";4,0;...;...;1,3;6,3;2,0;2,0;3,0;1,6;...;...;7,0;...;2,0;5,0;4,8;4,2;1,3;2,0;3,1;8,5;6,0;...;4,4;2,5;...;...;...;25,0;5,1
"220025 ALAGOINHA DO PIAUI";...;...;...;...;4,6;2,4;2,3;3,5;1,0;...;...;...;...;...;...;3,6;2,9;1,8;...;3,4;...;...;...;11,0;1,0;...;...;...;...;3,9
"220027 ALEGRETE DO PIAUI";...;...;...;...;4,6;...;5,0;...;1,0;...;...;...;...;5,0;1,5;3,0;2,5;...;...;1,8;...;...;...;...;26,0;...;...;...;...;4,2
"220030 ALTO LONGA";...;...;...;1,0;9,9;...;2,0;3,0;2,0;8,0;...;...;8,0;1,0;3,7;2,0;4,5;1,4;...;2,6;17,0;21,5;...;3,3;...;...;...;...;...;5,7
"220040 ALTOS";...;...;...;1,6;9,2;5,3;3,3;2,8;2,0;...;...;...;1,5;1,0;2,0;6,9;5,0;2,3;...;3,1;12,8;6,0;...;6,2;...;...;...;...;...;6,5
"220045 ALVORADA DO GURGUEIA";...;...;...;1,0;5,3;8,0;3,0;...;1,2;...;...;...;...;1,0;3,0;2,3;1,0;2,0;...;2,4;...;...;...;9,5;...;...;...;...;...;3,6
"220050 AMARANTE";...;...;...;2,0;4,0;13,0;4,0;2,5;1,4;3,0;...;7,0;28,0;...;1,5;4,2;4,9;...;...;3,0;16,3;5,0;...;8,0;2,0;...;...;...;...;3,8
"220060 ANGICAL DO PIAUI";...;...;...;1,0;6,7;8,5;...;2,0;2,2;5,0;...;...;...;...;21,0;2,5;7,6;3,0;...;2,6;...;...;...;7,8;...;...;...;...;...;5,0
"220070 ANISIO DE ABREU";...;...;...;1,0;2,8;4,0;2,0;...;1,2;...;...;...;5,0;...;...;3,2;3,1;2,0;...;2,4;...;...;...;3,0;3,0;...;...;...;...;2,6
"220080 ANTONIO ALMEIDA";...;...;...;...;7,6;...;...;3,0;1,0;...;...;...;...;...;...;7,0;4,0;...;...;1,5;...;...;...;...;...;...;...;...;...;5,3
"220090 AROAZES";...;...;...;...;5,8;11,7;...;2,3;1,7;...;...;...;...;...;9,0;1,0;3,5;2,0;...;1,9;7,0;2,0;...;4,0;...;...;...;...;...;4,4
"220095 AROEIRAS DO ITAIM";-;...;...;...;9,0;...;...;...;...;...;...;...;...;...;13,0;...;9,0;...;...;1,5;...;...;...;10,5;...;...;...;...;...;7,5
"220100 ARRAIAL";...;...;...;1,0;4,4;...;15,0;3,0;1,5;...;...;...;61,0;...;2,0;17,0;6,0;1,5;4,0;3,6;...;...;...;3,0;...;...;...;...;...;5,3
"220105 ASSUNCAO DO PIAUI";...;...;...;0,7;7,2;...;...;3,0;1,9;...;...;10,0;...;...;...;...;2,7;2,0;...;1,9;...;...;...;...;...;...;-;...;...;3,3
"220110 AVELINO LOPES";...;...;...;...;5,2;11,0;5,0;...;1,1;...;...;...;...;2,0;...;5,2;5,1;2,5;...;2,2;...;...;...;8,5;1,0;...;...;...;...;4,2
"220115 BAIXA GRANDE DO RIBEIRO";...;...;...;...;8,7;...;...;3,5;3,0;...;...;3,0;...;...;2,0;...;2,7;8,0;...;2,5;...;...;...;6,3;...;...;...;...;...;6,1
"220117 BARRA D'ALCANTARA";...;...;...;...;7,6;...;...;4,3;1,4;...;...;...;...;...;1,0;...;4,2;...;...;2,4;...;...;...;15,0;...;...;...;...;...;4,8
"220120 BARRAS";...;...;...;1,0;6,3;6,6;3,9;5,7;1,4;1,0;...;7,5;1,0;...;11,8;8,8;3,4;1,0;...;3,3;7,0;4,2;8,0;9,6;2,0;...;-;...;...;5,0
"220130 BARREIRAS DO PIAUI";...;...;...;-;7,0;27,0;...;...;1,3;...;...;...;...;...;...;...;5,0;...;...;2,0;...;...;...;7,3;...;...;...;...;...;6,0
"220140 BARRO DURO";...;...;...;...;5,4;2,3;...;1,7;1,1;...;...;...;10,0;...;23,0;2,0;1,8;...;...;2,6;...;-;...;6,9;...;...;0,5;...;...;4,0
"220150 BATALHA";...;...;...;2,0;5,3;9,2;3,0;4,0;1,5;...;...;...;...;...;2,0;4,3;3,8;3,0;...;3,6;...;...;...;3,8;...;...;...;...;...;4,1
"220155 BELA VISTA DO PIAUI";3,0;...;...;...;5,3;15,3;...;3,0;1,4;...;...;...;...;3,0;...;...;3,5;4,0;...;2,1;...;...;...;...;...;...;...;...;...;4,4
"220157 BELEM DO PIAUI";...;...;...;...;8,0;...;...;...;1,0;...;...;...;...;...;...;...;3,0;...;...;2,4;...;...;...;6,0;1,0;...;...;...;...;5,1
"220160 BENEDITINOS";...;...;...;1,0;7,3;...;3,8;3,0;2,2;...;...;...;9,0;...;12,2;2,3;3,6;...;...;2,8;...;1,0;...;8,0;...;...;...;...;...;5,5
"220170 BERTOLINIA";...;...;...;2,5;5,2;...;3,0;1,0;2,0;...;...;...;-;...;...;2,0;1,8;2,3;...;2,1;...;...;...;...;...;...;...;...;...;3,5
"220173 BETANIA DO PIAUI";...;...;...;...;3,8;...;2,5;5,0;1,1;...;...;...;...;...;4,5;2,0;4,6;2,0;...;2,0;...;...;...;2,0;...;...;...;...;...;2,7
"220177 BOA HORA";...;...;...;...;6,9;2,0;6,5;4,0;1,0;...;...;...;...;...;1,0;6,7;2,5;2,0;...;2,1;...;...;...;2,7;...;...;...;...;...;4,5
"220180 BOCAINA";...;...;...;...;3,2;7,0;...;2,0;...;...;...;...;...;...;...;4,3;4,0;...;...;6,0;...;...;...;6,3;7,0;...;...;...;...;3,5
"220190 BOM JESUS";...;...;...;2,5;4,7;9,1;9,5;6,3;1,4;...;...;9,0;3,7;...;3,0;3,8;2,6;2,3;...;2,3;37,0;2,0;...;5,6;2,0;...;...;...;...;3,9
"220191 BOM PRINCIPIO DO PIAUI";...;...;...;3,0;7,4;...;...;...;1,9;...;...;...;2,0;...;...;...;3,0;...;...;2,3;...;...;...;4,0;...;...;...;...;...;4,8
"220192 BONFIM DO PIAUI";...;...;...;...;2,7;8,6;3,0;...;1,2;...;...;...;...;...;...;3,0;2,6;...;...;2,1;...;...;...;5,0;...;...;...;...;...;3,1
"220194 BOQUEIRAO DO PIAUI";...;...;...;...;3,7;...;...;5,5;1,5;...;27,0;...;...;...;...;...;2,4;...;...;2,6;...;...;...;4,7;1,0;...;...;...;...;3,5
"220196 BRASILEIRA";...;...;...;21,5;9,9;8,0;8,0;...;1,5;...;...;16,0;24,0;...;...;2,3;3,8;1,0;...;2,4;...;...;...;5,0;...;...;...;...;...;5,8
"220198 BREJO DO PIAUI";...;...;...;1,0;14,3;9,0;14,0;4,0;1,0;...;...;...;...;...;2,0;...;5,0;1,7;...;2,2;...;3,0;...;3,0;...;...;...;...;...;8,7
"220200 BURITI DOS LOPES";...;...;...;4,7;8,9;7,3;2,0;9,6;1,8;...;...;...;3,0;...;6,0;12,0;6,1;...;...;2,3;...;...;...;5,3;...;...;...;...;...;6,0
"220202 BURITI DOS MONTES";...;...;...;...;5,3;...;...;3,0;1,6;...;...;21,0;...;...;14,0;...;2,3;10,0;...;2,6;...;...;...;6,7;...;...;...;...;...;4,2
"220205 CABECEIRAS DO PIAUI";...;...;...;-;6,2;...;...;2,3;1,3;2,0;...;...;...;...;3,0;3,5;2,1;2,0;...;2,5;...;3,3;...;2,0;...;...;...;...;...;4,0
"220207 CAJAZEIRAS DO PIAUI";...;...;...;1,0;6,0;...;8,5;...;1,0;...;...;...;2,0;...;...;1,0;3,0;...;...;2,5;...;...;...;5,0;...;...;...;...;...;4,3
"220208 CAJUEIRO DA PRAIA";...;...;...;3,0;6,6;6,7;...;...;1,8;32,0;...;...;...;...;6,3;2,0;...;1,0;...;3,3;...;...;...;6,0;3,0;...;...;...;...;4,6
"220209 CALDEIRAO GRANDE DO PIAUI";...;...;...;...;4,1;...;...;11,0;1,0;...;...;...;...;...;...;2,0;7,1;...;...;3,0;...;...;...;5,0;...;...;...;...;...;4,6
"220210 CAMPINAS DO PIAUI";...;...;...;0,5;5,8;...;...;2,0;1,6;...;...;16,0;2,0;...;...;3,0;2,3;2,0;...;2,1;...;...;...;...;...;...;...;...;...;3,7
"220211 CAMPO ALEGRE DO FIDALGO";...;...;...;...;6,0;1,0;4,0;...;1,4;...;...;...;...;...;...;5,0;4,8;...;2,0;2,3;...;...;...;2,4;...;...;...;...;...;4,1
"220213 CAMPO GRANDE DO PIAUI";1,0;...;...;...;5,6;...;23,0;1,0;1,0;...;...;...;23,0;...;2,0;2,6;...;9,0;1,0;2,6;7,0;...;...;3,0;...;...;...;...;...;4,9
"220217 CAMPO LARGO DO PIAUI";...;...;...;...;3,4;...;...;3,0;1,2;...;...;...;...;...;...;17,5;1,8;...;...;1,5;...;9,0;...;5,3;...;...;...;...;...;3,0
"220220 CAMPO MAIOR";...;...;...;1,1;4,5;6,6;2,9;2,9;1,3;...;...;12,0;1,0;...;4,4;5,4;4,5;1,8;...;2,4;21,0;3,3;...;6,3;1,7;...;...;...;...;4,0
"220225 CANAVIEIRA";...;...;...;1,0;3,9;...;...;3,0;1,3;...;...;...;...;...;3,0;3,0;4,4;...;...;5,2;...;...;...;...;...;...;...;...;...;3,7
"220230 CANTO DO BURITI";...;...;...;1,0;3,9;2,6;2,3;1,9;1,2;1,0;...;7,0;7,0;2,0;20,0;2,7;1,7;2,0;...;2,4;6,7;...;...;6,1;...;...;...;...;...;3,3
"220240 CAPITAO DE CAMPOS";...;...;...;4,0;7,5;...;3,3;6,3;1,0;...;...;...;10,0;...;5,0;1,8;3,6;1,0;...;1,9;...;1,0;...;3,5;...;...;...;...;...;4,1
"220245 CAPITAO GERVASIO OLIVEIRA";...;...;...;2,0;3,6;7,3;...;...;1,1;...;...;...;...;...;6,0;2,0;1,0;2,0;...;2,0;...;...;...;4,7;...;...;...;...;14,0;4,1
"220250 CARACOL";7,0;...;...;5,0;4,3;7,5;14,0;4,0;1,4;...;...;...;4,0;...;...;2,6;1,9;1,7;...;2,2;8,0;...;...;-;...;...;...;...;...;3,7
"220253 CARAUBAS DO PIAUI";...;...;...;2,0;9,2;1,0;...;4,0;1,6;...;...;...;...;...;...;2,0;...;...;...;2,0;...;...;...;12,0;1,0;...;...;...;...;6,5
"220255 CARIDADE DO PIAUI";...;...;...;-;3,2;2,0;3,0;2,0;...;...;...;8,0;...;...;...;...;2,8;...;...;2,0;...;...;...;1,0;...;...;...;...;...;3,1
"220260 CASTELO DO PIAUI";...;...;...;...;6,1;10,5;2,7;8,0;2,2;...;1,0;...;6,0;...;12,5;8,1;2,9;2,0;...;2,7;20,0;3,0;...;2,4;...;...;0,5;11,0;...;4,8
"220265 CAXINGO";...;...;...;3,0;7,9;32,0;4,0;12,0;1,6;...;...;...;...;...;...;2,3;6,0;3,0;...;2,3;4,3;...;...;2,3;3,0;...;...;...;...;5,2
"220270 COCAL";...;...;...;4,0;8,8;8,0;...;3,5;1,5;...;...;30,5;9,5;1,0;2,0;5,7;3,9;1,5;...;2,6;...;...;...;6,0;...;...;...;...;...;5,0
"220271 COCAL DE TELHA";...;...;...;2,0;3,7;4,0;2,0;6,0;1,2;...;...;...;4,0;1,0;...;1,5;4,5;...;...;2,3;...;6,0;...;7,0;...;...;...;...;...;3,4
"220272 COCAL DOS ALVES";...;...;...;3,0;7,6;10,0;...;...;1,4;...;...;...;-;...;...;...;...;...;...;2,0;...;...;...;6,0;...;...;...;...;...;4,2
"220273 COIVARAS";...;...;...;1,0;4,8;...;1,0;...;1,2;...;...;...;...;...;10,0;2,0;2,0;...;...;2,3;7,0;...;...;...;...;...;...;...;...;3,4
"220275 COLONIA DO GURGUEIA";...;...;...;1,0;5,2;2,0;2,0;3,5;1,3;...;...;1,5;1,0;...;0,5;1,5;3,4;...;...;2,3;...;...;...;6,0;...;...;...;...;...;3,6
"220277 COLONIA DO PIAUI";...;...;...;0,8;5,7;...;3,7;...;1,3;...;...;...;...;...;3,6;...;3,9;2,0;...;2,4;...;...;...;5,2;1,0;...;...;...;...;3,8
"220280 CONCEICAO DO CANINDE";...;...;...;...;12,0;...;...;5,5;1,3;...;...;...;...;...;2,0;4,3;14,0;1,7;...;2,0;10,5;4,5;...;6,5;...;...;-;...;...;7,7
"220285 CORONEL JOSE DIAS";...;...;...;1,0;3,3;...;1,0;...;1,3;1,0;...;...;4,5;...;19,5;1,0;3,5;...;...;1,9;...;...;...;11,0;...;...;...;...;...;3,9
"220290 CORRENTE";...;...;...;1,3;7,8;4,0;-;8,0;2,0;...;...;11,2;5,0;...;6,0;3,7;4,5;1,6;...;2,0;28,7;6,5;...;4,8;14,0;...;...;...;...;4,5
"220300 CRISTALANDIA DO PIAUI";...;...;...;...;6,8;...;...;...;1,2;...;...;...;...;...;...;7,0;3,7;2,0;...;4,3;...;...;...;3,6;...;...;...;...;...;4,2
"220310 CRISTINO CASTRO";...;...;...;0,3;3,5;...;2,0;8,5;1,6;...;...;...;4,5;...;...;1,5;5,7;2,5;...;2,3;7,0;...;...;5,3;...;...;...;...;15,0;3,4
"220320 CURIMATA";...;...;...;-;4,2;...;2,5;5,7;1,1;...;...;9,0;...;...;4,7;4,0;4,8;3,0;...;2,4;21,7;...;...;8,2;...;6,0;...;40,0;13,5;4,1
"220323 CURRAIS";...;...;...;1,0;4,6;4,0;2,2;...;1,5;22,0;...;6,0;4,0;...;...;3,0;5,3;...;...;2,3;...;...;...;...;...;...;...;...;...;3,9
"220325 CURRALINHOS";...;...;...;...;5,2;...;...;...;2,1;...;...;...;...;...;6,0;2,0;5,0;9,0;...;2,1;...;...;...;...;...;...;...;...;...;4,0
"220327 CURRAL NOVO DO PIAUI";...;...;...;...;3,8;...;3,0;...;1,3;...;...;...;...;...;...;2,0;4,5;...;...;1,9;...;...;...;...;...;...;...;...;...;3,4
"220330 DEMERVAL LOBAO";...;...;...;1,4;6,6;7,7;...;4,0;1,6;...;...;...;14,0;1,0;3,3;2,5;3,1;1,7;...;4,1;...;9,0;...;9,4;...;...;1,0;...;...;5,0
"220335 DIRCEU ARCOVERDE";...;...;...;1,0;2,8;...;2,0;18,5;1,5;...;...;...;...;...;22,0;4,5;4,0;2,0;...;2,0;...;-;...;4,0;...;...;...;...;...;3,1
"220340 DOM EXPEDITO LOPES";...;...;...;1,0;6,0;...;4,0;2,0;1,0;1,0;...;...;...;...;7,0;3,0;5,3;3,0;...;2,3;...;...;...;7,0;...;...;...;...;...;4,6
"220342 DOMINGOS MOURAO";...;...;...;6,0;11,2;...;26,0;...;6,8;...;...;...;...;...;6,0;2,0;3,7;...;...;2,0;...;...;...;5,0;...;...;...;...;...;7,1
"220345 DOM INOCENCIO";...;...;...;...;3,4;16,0;4,7;...;1,0;1,0;...;...;...;...;...;3,5;3,2;2,0;...;2,2;5,0;...;...;2,0;...;...;...;...;...;4,1
"220350 ELESBAO VELOSO";...;...;...;2,0;5,3;6,3;3,6;2,8;3,8;...;...;9,0;...;...;5,0;3,4;4,4;1,3;...;2,6;...;...;...;6,9;1,0;...;...;...;...;4,6
"220360 ELISEU MARTINS";...;...;...;...;4,9;1,7;...;...;2,3;...;...;...;...;...;...;2,0;7,0;...;...;2,9;7,0;...;...;3,8;...;...;...;...;...;3,8
"220370 ESPERANTINA";21,0;...;...;3,0;3,8;2,5;5,0;3,0;1,3;...;...;...;3,0;-;2,1;4,8;4,1;1,2;...;2,0;5,7;3,3;...;4,3;1,5;...;...;...;...;3,3
"220375 FARTURA DO PIAUI";...;...;...;...;3,0;5,0;...;6,0;1,0;...;...;3,0;...;...;...;5,3;2,0;2,0;...;2,2;...;...;...;21,0;...;...;...;...;...;3,3
"220380 FLORES DO PIAUI";...;...;...;1,0;5,1;...;5,0;...;1,6;...;...;...;...;...;4,0;5,3;-;2,0;...;3,7;...;...;...;0,7;4,0;...;...;...;...;3,4
"220385 FLORESTA DO PIAUI";...;...;...;...;5,3;...;...;3,0;1,5;...;...;...;...;...;...;...;...;...;...;2,0;...;...;...;...;...;...;...;...;...;3,3
"220390 FLORIANO";...;...;...;1,2;5,9;5,7;4,5;3,2;1,4;1,9;...;3,6;3,0;1,0;4,2;4,1;3,0;3,8;...;2,4;6,8;3,3;...;6,0;2,0;...;0,5;...;...;4,2
"220400 FRANCINOPOLIS";...;...;...;1,0;5,2;...;...;...;1,2;...;...;13,5;...;...;...;3,3;...;...;...;1,6;...;...;...;4,3;...;...;...;...;...;4,2
"220410 FRANCISCO AYRES";...;...;...;...;3,3;...;2,0;1,0;1,0;...;...;...;5,0;...;3,0;3,7;4,5;...;...;2,5;...;...;...;5,3;...;...;...;...;...;3,3
"220415 FRANCISCO MACEDO";...;...;...;...;4,7;10,0;...;...;1,0;1,0;...;...;...;...;...;6,0;3,5;...;...;...;...;...;...;7,5;...;...;...;...;...;4,8
"220420 FRANCISCO SANTOS";...;...;...;2,0;7,6;...;15,0;7,5;4,0;...;...;...;...;...;2,0;2,0;3,0;7,0;...;2,1;...;...;...;15,0;...;...;...;...;...;5,0
"220430 FRONTEIRAS";...;...;...;1,0;3,5;...;2,3;2,0;2,3;...;...;...;...;...;12,0;1,0;6,2;6,0;...;3,5;4,5;...;...;...;1,0;...;...;...;...;3,5
"220435 GEMINIANO";...;...;...;...;12,5;...;3,0;9,0;1,0;...;...;...;...;...;...;2,3;4,4;1,5;1,0;2,0;...;...;...;...;1,0;...;...;...;...;5,1
"220440 GILBUES";...;...;...;...;6,3;...;4,5;8,0;2,5;...;...;2,0;...;...;...;5,0;8,8;2,0;...;2,0;...;...;...;3,9;2,0;...;...;...;...;4,2
"220450 GUADALUPE";...;...;...;...;6,2;3,0;1,7;-;1,1;4,0;...;2,0;24,0;...;...;5,0;3,0;...;...;2,4;12,0;...;...;3,0;2,5;...;...;...;...;4,5
"220455 GUARIBAS";...;...;...;...;3,0;...;...;...;1,4;...;...;...;4,0;...;...;3,2;2,3;3,3;...;2,7;...;...;...;22,0;...;...;...;...;...;3,3
"220460 HUGO NAPOLEAO";...;...;...;1,0;5,6;2,5;5,4;...;1,0;...;...;...;...;...;...;...;1,0;8,5;...;3,3;...;-;...;...;...;...;...;...;...;4,3
"220465 ILHA GRANDE";...;...;...;11,0;8,9;4,0;...;...;1,9;...;...;...;...;-;16,0;5,0;6,0;...;...;2,1;...;...;...;5,3;1,0;...;...;...;...;5,7
"220470 INHUMA";...;...;...;0,5;9,2;5,6;...;2,0;1,4;...;...;29,0;...;...;...;2,6;8,2;2,0;...;2,0;...;...;...;10,1;...;...;...;...;...;5,6
"220480 IPIRANGA DO PIAUI";...;...;...;...;8,1;5,3;...;10,0;1,1;...;...;...;...;...;10,0;14,0;8,3;...;...;3,1;...;...;...;1,0;...;...;...;...;...;6,8
"220490 ISAIAS COELHO";...;...;...;3,0;8,8;3,6;5,5;...;1,2;...;...;27,0;1,0;2,0;...;1,0;3,0;2,2;...;2,0;5,0;...;...;6,3;...;...;...;...;...;5,2
"220500 ITAINOPOLIS";...;...;...;...;4,7;...;6,0;2,0;1,3;1,0;...;...;2,0;1,0;...;1,6;5,0;...;...;2,1;...;1,0;...;10,0;1,0;...;...;...;...;3,4
"220510 ITAUEIRA";...;...;...;...;4,5;3,5;2,1;2,8;1,2;2,0;...;...;2,8;...;2,3;2,0;3,5;7,5;1,0;2,4;...;...;...;11,3;...;...;...;...;...;4,0
"220515 JACOBINA DO PIAUI";...;...;...;...;5,6;...;3,0;...;1,3;...;...;...;...;...;...;2,3;3,0;3,0;...;2,6;...;...;...;6,0;...;...;...;...;...;3,7
"220520 JAICOS";...;...;...;1,0;2,7;2,0;3,0;4,3;1,1;...;...;4,7;3,3;...;...;5,3;4,3;2,0;...;2,6;3,0;...;...;13,5;2,0;...;...;...;...;2,9
"220525 JARDIM DO MULATO";...;...;...;0,3;4,6;...;1,0;0,5;3,4;...;...;...;...;...;...;...;3,5;...;...;2,6;8,0;...;...;1,0;...;...;...;...;...;3,5
"220527 JATOBA DO PIAUI";...;...;...;1,0;3,5;...;2,4;4,0;1,0;...;...;5,0;...;...;...;...;8,0;...;...;1,8;...;3,0;...;12,5;...;...;...;...;...;3,3
"220530 JERUMENHA";...;...;...;1,0;6,5;28,0;...;...;2,5;...;...;8,0;...;3,0;...;2,5;3,0;...;...;2,7;...;8,0;...;5,3;...;...;...;...;...;5,4
"220535 JOAO COSTA";...;...;...;7,0;3,1;4,0;...;...;1,2;...;...;...;...;...;1,5;3,6;...;2,0;...;2,0;...;...;...;...;1,0;...;...;...;...;2,6
"220540 JOAQUIM PIRES";...;...;...;8,5;5,8;5,0;5,0;2,7;1,6;...;...;...;...;...;2,5;3,0;5,2;2,7;...;2,4;6,0;...;...;1,0;...;...;...;...;...;4,1
"220545 JOCA MARQUES";...;...;...;2,0;5,2;15,4;7,5;...;2,0;...;...;52,0;...;...;...;10,7;1,0;...;...;2,7;...;...;...;...;...;...;...;...;...;6,0
"220550 JOSE DE FREITAS";...;...;...;0,8;6,8;5,6;6,5;3,9;1,7;...;...;...;10,0;...;13,0;4,9;2,8;3,5;...;3,3;12,0;9,2;...;7,3;2,5;...;...;...;...;5,0
"220551 JUAZEIRO DO PIAUI";...;...;...;...;3,9;12,5;...;1,0;1,3;...;...;...;13,0;...;4,5;2,0;4,0;...;...;1,5;...;...;...;2,0;...;...;...;...;...;3,8
"220552 JULIO BORGES";...;...;...;...;5,1;...;2,0;14,0;1,0;...;...;...;...;...;...;...;4,5;...;...;2,4;9,0;...;...;7,5;...;...;...;...;...;4,4
"220553 JUREMA";...;...;...;...;4,4;...;...;2,0;1,3;...;...;4,0;2,0;...;...;...;6,6;...;...;2,9;...;...;...;...;...;...;...;...;...;3,9
"220554 LAGOINHA DO PIAUI";...;...;...;...;7,5;14,0;...;3,0;1,3;...;...;...;...;...;...;...;...;...;...;3,6;...;...;2,0;...;...;...;...;...;...;6,0
"220555 LAGOA ALEGRE";...;...;...;-;11,1;21,5;...;...;1,8;...;...;...;...;1,0;2,0;6,0;5,3;...;...;3,6;...;...;...;6,7;...;...;...;...;...;8,1
"220556 LAGOA DO BARRO DO PIAUI";...;...;...;1,0;6,0;6,0;...;2,7;1,4;...;...;...;2,0;...;...;7,0;5,9;...;...;2,1;...;...;...;3,0;...;...;...;...;...;4,5
"220557 LAGOA DE SAO FRANCISCO";...;...;...;5,0;10,4;...;4,0;...;1,4;...;...;...;...;...;21,0;5,3;4,6;...;...;2,6;...;1,0;...;...;...;...;...;...;...;7,8
"220558 LAGOA DO PIAUI";...;...;...;1,0;5,5;4,6;...;2,0;1,9;...;...;...;...;...;8,0;2,0;2,0;1,5;...;3,8;...;2,0;...;4,5;...;...;...;...;...;3,8
"220559 LAGOA DO SITIO";...;...;...;...;6,2;...;1,0;1,8;1,3;...;...;...;...;...;...;3,6;4,4;2,0;...;2,2;...;...;...;2,0;...;...;...;...;...;4,5
"220560 LANDRI SALES";...;...;...;3,5;7,2;...;11,0;5,3;1,0;-;...;5,0;...;...;...;1,0;3,3;...;...;2,2;...;...;...;5,2;...;2,0;...;...;...;5,1
"220570 LUIS CORREIA";...;...;...;3,7;7,9;6,6;2,0;8,3;1,9;...;...;24,0;...;1,0;8,7;8,0;6,2;2,0;...;2,5;...;...;...;3,0;2,0;...;...;...;...;5,4
